User:                 cchurko3  Version: NPSS_1.6.5 - Rev: ->Date:           Time: 08:58:34

   Case  Limit_Flag         Day  Mach       Alt         Tds         Tt1         Tt2         Tt3         Tt4          Tt5         Tt9         Pt1         Pt2         Pt3         Pt4          Pt5         Pt9        W1        Fn        Fg        Fr    PercFn     WFuel      TSFC       CmpH_Nc             N       HPX 
     73         TT4         STD  0.00    5000.0       0.000     500.839     500.839     632.300    4209.469     4151.942    4151.942      12.228      11.616      25.580      24.058       22.310      22.310    2.1492     228.6     228.6       0.0       0.0     552.2   2.41593   4.9500E+004   4.8642E+004       0.0 
     74         TT4         STD  0.00    5000.0       0.000     500.839     500.839     646.164    4141.587     4075.459    4075.459      12.228      11.616      27.350      25.723       23.541      23.541    2.2612     241.9     241.9       0.0       0.0     559.5   2.31319   5.2250E+004   5.1344E+004       0.0 
     75         TT4         STD  0.00    5000.0       0.000     500.839     500.839     660.808    4104.740     4028.532    4028.532      12.228      11.616      29.128      27.395       24.715      24.715    2.3592     254.1     254.1       0.0       0.0     567.6   2.23371   5.5000E+004   5.4046E+004       0.0 
     76         TT4         STD  0.00    5000.0       0.000     500.839     500.839     676.483    4059.448     3971.342    3971.342      12.228      11.616      30.782      28.951       25.659      25.659    2.4270     260.5     260.5       0.0       0.0     565.0   2.16883   5.7750E+004   5.6749E+004       0.0 
     77         TT4         STD  0.00    5000.0       0.000     500.839     500.839     693.096    3995.277     3892.844    3892.844      12.228      11.616      32.100      30.190       26.172      26.172    2.4540     258.7     258.7       0.0       0.0     548.2   2.11905   6.0500E+004   5.9451E+004       0.0 
     78         TT4         STD  0.10    5000.0       0.000     500.839     501.841     607.670    4300.799     4257.587    4257.587      12.228      11.699      22.453      21.117       19.972      19.972    1.9327     192.4     199.0       6.6       0.0     524.6   2.72578   4.4000E+004   4.3280E+004       0.0 
     79         TT4         STD  0.10    5000.0       0.000     500.839     501.841     620.327    4255.226     4205.052    4205.052      12.228      11.699      24.053      22.622       21.192      21.192    2.0458     207.8     214.8       7.0       0.0     540.0   2.59871   4.6750E+004   4.5985E+004       0.0 
     80         TT4         STD  0.10    5000.0       0.000     500.839     501.841     633.554    4207.547     4149.860    4149.860      12.228      11.699      25.762      24.229       22.462      22.462    2.1641     223.5     230.9       7.4       0.0     555.3   2.48438   4.9500E+004   4.8690E+004       0.0 
     81         TT4         STD  0.10    5000.0       0.000     500.839     501.841     647.446    4139.799     4073.413    4073.413      12.228      11.699      27.544      25.905       23.698      23.698    2.2768     236.5     244.3       7.8       0.0     562.6   2.37889   5.2250E+004   5.1395E+004       0.0 
     82         TT4         STD  0.10    5000.0       0.000     500.839     501.841     662.125    4104.443     4027.969    4027.969      12.228      11.699      29.335      27.589       24.881      24.881    2.3749     248.5     256.6       8.1       0.0     571.0   2.29749   5.5000E+004   5.4100E+004       0.0 
     83         TT4         STD  0.10    5000.0       0.000     500.839     501.841     677.839    4058.379     3969.916    3969.916      12.228      11.699      31.001      29.157       25.828      25.828    2.4428     254.6     262.9       8.3       0.0     568.0   2.23112   5.7750E+004   5.6805E+004       0.0 
     84         TT4         STD  0.10    5000.0       0.000     500.839     501.841     694.493    3993.691     3890.831    3890.831      12.228      11.699      32.328      30.405       26.342      26.342    2.4699     252.6     261.1       8.4       0.0     551.0   2.18106   6.0500E+004   5.9510E+004       0.0 
     85         TT4         STD  0.20    5000.0       0.000     500.839     504.846     611.277    4298.165     4254.490    4254.490      12.228      11.950      22.933      21.568       20.386      20.386    1.9734     192.2     205.7      13.5       0.0     534.1   2.77872   4.4000E+004   4.3410E+004       0.0 
     86         TT4         STD  0.20    5000.0       0.000     500.839     504.846     624.010    4251.923     4201.202    4201.202      12.228      11.950      24.566      23.105       21.628      21.628    2.0886     207.4     221.7      14.2       0.0     549.6   2.64999   4.6750E+004   4.6123E+004       0.0 
     87         TT4         STD  0.20    5000.0       0.000     500.839     504.846     637.318    4201.768     4143.593    4143.593      12.228      11.950      26.311      24.745       22.922      22.922    2.2090     222.8     237.9      15.1       0.0     564.5   2.53347   4.9500E+004   4.8836E+004       0.0 
     88         TT4         STD  0.20    5000.0       0.000     500.839     504.846     651.296    4134.364     4067.199    4067.199      12.228      11.950      28.131      26.457       24.174      24.174    2.3241     235.7     251.5      15.9       0.0     572.1   2.42728   5.2250E+004   5.1549E+004       0.0 
     89         TT4         STD  0.20    5000.0       0.000     500.839     504.846     666.081    4103.531     4026.256    4026.256      12.228      11.950      29.961      28.178       25.385      25.385    2.4228     247.7     264.2      16.5       0.0     581.2   2.34622   5.5000E+004   5.4262E+004       0.0 
     90         TT4         STD  0.20    5000.0       0.000     500.839     504.846     681.913    4055.107     3965.567    3965.567      12.228      11.950      31.665      29.781       26.339      26.339    2.4907     253.2     270.2      17.0       0.0     577.2   2.27912   5.7750E+004   5.6975E+004       0.0 
     91         TT4         STD  0.20    5000.0       0.000     500.839     504.846     698.683    3988.730     3884.573    3884.573      12.228      11.950      33.021      31.056       26.853      26.853    2.5181     251.0     268.2      17.2       0.0     559.5   2.22884   6.0500E+004   5.9688E+004       0.0 
     92         TT4         STD  0.30    5000.0       0.000     500.839     509.854     617.288    4293.667     4249.217    4249.217      12.228      12.376      23.748      22.335       21.088      21.088    2.0426     196.1     217.0      20.9       0.0     550.3   2.80673   4.4000E+004   4.3624E+004       0.0 
     93         TT4         STD  0.30    5000.0       0.000     500.839     509.854     630.146    4245.507     4194.032    4194.032      12.228      12.376      25.439      23.925       22.370      22.370    2.1616     211.2     233.3      22.1       0.0     565.7   2.67881   4.6750E+004   4.6351E+004       0.0 
     94         TT4         STD  0.30    5000.0       0.000     500.839     509.854     643.591    4191.783     4132.719    4132.719      12.228      12.376      27.245      25.624       23.700      23.700    2.2855     226.3     249.7      23.4       0.0     579.9   2.56229   4.9500E+004   4.9078E+004       0.0 
     95         TT4         STD  0.30    5000.0       0.000     500.839     509.854     657.737    4132.252     4063.848    4063.848      12.228      12.376      29.129      27.396       24.989      24.989    2.4021     239.4     264.0      24.6       0.0     588.8   2.45956   5.2250E+004   5.1804E+004       0.0 
     96         TT4         STD  0.30    5000.0       0.000     500.839     509.854     672.682    4101.944     4023.319    4023.319      12.228      12.376      31.026      29.180       26.240      26.240    2.5040     251.5     277.1      25.6       0.0     598.4   2.37937   5.5000E+004   5.4531E+004       0.0 
     97         TT4         STD  0.30    5000.0       0.000     500.839     509.854     688.716    4049.704     3958.364    3958.364      12.228      12.376      32.794      30.843       27.204      27.204    2.5717     256.3     282.6      26.3       0.0     592.6   2.31231   5.7750E+004   5.7257E+004       0.0 
     98         TT4         STD  0.30    5000.0       0.000     500.839     509.854     705.688    3980.326     3873.988    3873.988      12.228      12.376      34.199      32.164       27.718      27.718    2.5992     253.6     280.2      26.6       0.0     573.5   2.26177   6.0500E+004   5.9984E+004       0.0 
     99         TT4         STD  0.40    5000.0       0.000     500.839     516.866     625.713    4287.302     4241.751    4241.751      12.228      12.990      24.919      23.437       22.095      22.095    2.1420     203.9     233.1      29.2       0.0     573.3   2.81166   4.4000E+004   4.3923E+004       0.0 
    100         TT4         STD  0.40    5000.0       0.000     500.839     516.866     638.735    4234.534     4182.212    4182.212      12.228      12.990      26.696      25.108       23.442      23.442    2.2671     219.1     250.0      30.9       0.0     588.4   2.68574   4.6750E+004   4.6669E+004       0.0 
    101         TT4         STD  0.40    5000.0       0.000     500.839     516.866     652.384    4180.220     4119.614    4119.614      12.228      12.990      28.591      26.890       24.812      24.812    2.3955     234.2     266.9      32.7       0.0     602.6   2.57279   4.9500E+004   4.9414E+004       0.0 
    102         TT4         STD  0.40    5000.0       0.000     500.839     516.866     666.771    4130.326     4060.227    4060.227      12.228      12.990      30.569      28.750       26.163      26.163    2.5141     247.6     281.9      34.3       0.0     613.0   2.47573   5.2250E+004   5.2159E+004       0.0 
    103         TT4         STD  0.40    5000.0       0.000     500.839     516.866     681.953    4098.463     4017.836    4017.836      12.228      12.990      32.562      30.625       27.461      27.461    2.6197     259.6     295.3      35.7       0.0     622.4   2.39753   5.5000E+004   5.4904E+004       0.0 
